school,test_optional_or_no,applies_to_class_year_s,policy_details,number_of_applicants,accept_rate,sat_tot_25th_percentile,sat_tot_75th_percentile,act_composite_25th_percentile,act_composite_75th_percentile,sat_equiv_of_act_25th,sat_equiv_of_act_75th,sat_minus_sat_equiv_25th_perc,sat_minus_sat_equiv_75th_perc
University of Alabama,No,,University of Alabama requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,37302,0.591,1060,1280,23,31,1140,1400,-80,-120
Florida Institute of Technology,No,,Florida Institute of Technology requires either the SAT or ACT. It generally does not require the optional SAT Essay or ACT Writing Test but it may be required for some applicants. Subject Tests are not required however the Math II Chemistry Physics and Literature Subject Tests are recommended for homeschooled applicants.,9743,0.657,1150,1360,24,30,1180,1370,-30,-10
Louisiana State University—​Baton Rouge,No,,Louisiana State University requires either the SAT or the ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,24501,0.746,1080,1310,23,29,1140,1340,-60,-30
The Citadel,No,,The Citadel requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2742,0.747,1050,1230,20,25,1040,1210,10,20
New College of Florida,No,,The New College of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,1340,0.768,1220,1420,26,31,1240,1400,-20,20
Thomas Aquinas College,No,,Thomas Aquinas College requires requires that applicants take the SAT the ACT or the Classic Learning Test. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required. Thomas Aquinas College does not offer merit-based aid.,211,0.777,1220,1400,25,30,1210,1370,10,30
University of Texas Rio Grande Valley,No,,University of Texas Rio Grande Valley requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10680,0.7979999999999999,950,1130,17,22,930,1110,20,20
University of South Dakota,No,,Unviersity of South Dakota requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,4434,0.8640000000000001,990,1180,19,25,1010,1210,-20,-30
University of Mississippi,No,,Ole Miss requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15371,0.8809999999999999,1050,1270,21,29,1080,1340,-30,-70
University of Wyoming,No,,University of Wyoming requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,5348,0.96,1060,1280,22,28,1110,1310,-50,-30
University of Texas El Paso,No,,UTEP requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. It does not superscore.,7157,0.9990000000000001,820,1050,17,23,930,1140,-110,-90
